,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
376,Sattahip,20,TH,1516617000,74,12.67,100.9,80.6,6.93
377,Juruti,0,BR,1516619606,85,-2.16,-56.09,77.98,2.93
378,Pechenga,80,RU,1516619607,86,58.89,41.46,13.54,9.42
379,Derzhavinsk,0,KZ,1516619608,63,51.1,66.31,-7.93,18.48
380,Vanavara,56,RU,1516619608,79,60.35,102.28,-18.41,4.38
381,Chor,0,PK,1516619609,66,25.52,69.77,74.11,5.17
382,Constitucion,8,MX,1516619610,72,23.99,-104.67,29.83,2.71
383,Susehri,64,TR,1516619610,88,40.16,38.09,36.04,7.4
384,Wenling,8,CN,1516619611,94,28.38,121.38,48.87,13.67
385,Southbridge,90,US,1516618260,95,42.08,-72.03,37.4,3.04
386,Lima,68,PE,1516619432,80,-12.06,-77.04,60.43,0.69
387,Gopalpur,0,IN,1516619613,82,25.6,86.94,63.76,3.38
388,Rome,0,IT,1516618500,66,41.89,12.48,57.2,4.7
389,Goulburn,76,AU,1516619614,68,-34.75,149.72,75.82,2.37
390,Nieves,64,MX,1516619614,49,24.0,-103.02,34.83,2.93
391,Chiriqui Grande,48,PA,1516619615,92,8.95,-82.12,68.4,2.37
392,Pokrovsk,92,UA,1516619616,92,48.28,37.18,27.45,16.35
393,Carballo,75,ES,1516618800,82,43.21,-8.69,57.2,6.93
394,Kidal,12,ML,1516619617,38,18.44,1.41,72.49,16.8
395,Piedecuesta,0,CO,1516619617,88,6.99,-73.05,59.62,4.16
396,Nogliki,0,RU,1516619618,100,51.8,143.14,-8.24,3.83
397,Santa Ines,90,EC,1516615200,93,-0.82,-78.63,50.0,9.17
398,Yenagoa,24,NG,1516619619,80,4.92,6.26,86.89,5.61
399,Puerto Maldonado,56,PE,1516619620,93,-12.59,-69.19,74.25,2.93
400,Rovnoye,92,RU,1516619751,95,50.78,46.06,26.23,4.61
401,Yerbogachen,56,RU,1516619621,83,61.28,108.01,-19.49,3.04
402,Balyaga,44,RU,1516619622,72,51.15,108.93,-18.23,7.96
403,Starachowice,80,PL,1516619752,94,51.05,21.08,26.73,6.17
404,Kapuskasing,90,CA,1516615200,84,49.42,-82.43,-2.21,6.93
405,Srem,76,BG,1516619623,98,42.05,26.48,37.35,17.02
406,Concepcion del Uruguay,24,AR,1516619624,75,-32.48,-58.24,79.96,5.28
407,Uvat,0,RU,1516619625,33,59.14,68.9,-21.38,5.5
408,Swan River,76,CA,1516619625,81,52.11,-101.27,7.24,4.5
409,Yumen,0,CN,1516619626,79,40.29,97.04,14.53,7.63
410,Gresham,1,US,1516618380,100,45.51,-122.44,44.6,6.62
411,Esso,64,RU,1516619627,58,55.93,158.7,-0.73,4.72
412,Saiha,0,IN,1516619628,67,22.49,92.98,62.23,1.59
413,Dromolaxia,40,CY,1516618800,88,34.88,33.59,64.4,23.04
414,Abomey,0,BJ,1516619629,47,7.18,1.99,90.04,4.61
415,Mincivan,36,AZ,1516619629,69,39.03,46.72,49.72,2.48
416,Galdar,0,ES,1516618800,68,28.15,-15.65,68.0,12.75
417,Kingston,90,CA,1516618560,86,44.23,-76.48,33.8,8.05
418,Masumbwe,44,TZ,1516619631,64,-3.65,32.16,78.3,0.69
419,Hukuntsi,44,BW,1516619631,27,-23.98,21.76,89.05,16.8
420,Uri,20,IT,1516618200,63,40.64,8.49,62.6,12.75
421,Huallanca,88,PE,1516619632,97,-9.9,-76.94,38.56,0.92
422,Monroe,90,US,1516618380,93,41.91,-83.4,44.6,4.7
423,Tandil,0,AR,1516619633,74,-37.33,-59.14,76.45,4.83
424,Winchester,40,GB,1516618200,76,51.06,-1.31,50.0,9.17
425,Laredo,1,US,1516618560,87,27.51,-99.51,59.0,10.29
426,Sungai Udang,75,MY,1516617000,79,5.16,100.43,84.2,4.7
427,Partizanskoye,68,UA,1516619636,98,44.83,34.08,39.15,10.76
428,Santo Antonio do Ica,36,BR,1516619636,100,-3.1,-67.94,72.4,3.6
429,Outlook,8,CA,1516619637,77,51.48,-107.04,16.38,8.63
430,Puerto Castilla,0,ES,1516619637,89,40.29,-5.63,49.36,0.92
431,Saint-Jean-de-Braye,90,FR,1516618800,87,47.92,1.97,55.4,24.16
432,Puerto Quijarro,0,BO,1516615200,83,-19.0,-57.72,78.8,1.12
433,Huambo,32,AO,1516619639,77,-12.78,15.73,73.48,4.27
434,Burns Lake,24,CA,1516619640,63,54.23,-125.76,11.38,3.15
435,Khislavichi,68,RU,1516619640,81,54.19,32.16,21.73,7.63
436,Abaza,12,RU,1516619641,48,52.65,90.1,-30.43,2.37
437,Mora,8,PT,1516619642,97,38.94,-8.17,58.23,8.19
438,Mapiripan,8,CO,1516619642,63,2.89,-72.13,77.13,5.95
439,Mookane,0,BW,1516619643,27,-23.68,26.66,94.05,14.12
440,Thyolo,32,MW,1516619643,45,-16.07,35.15,86.85,7.18
441,Sukabumi,92,ID,1516619644,96,-6.92,106.93,73.08,6.62
442,Mlalo,0,TZ,1516619645,35,-4.58,38.35,88.02,4.94
443,Ialibu,92,PG,1516619645,99,-6.28,143.99,56.29,0.69
444,Mersing,36,MY,1516619646,86,2.43,103.84,80.37,9.19
445,Tyup,12,KG,1516619646,87,42.73,78.36,13.81,2.59
446,Mittweida,75,DE,1516618200,86,50.99,12.98,33.8,6.93
447,Nagapattinam,48,IN,1516619647,65,10.76,79.84,78.07,9.75
448,Paamiut,0,GL,1516619648,86,61.99,-49.67,29.02,9.86
449,Atasu,0,KZ,1516619649,63,48.68,71.64,3.28,13.0
450,Crixas,12,BR,1516619649,78,-14.55,-49.97,81.22,4.16
451,Quelimane,75,MZ,1516615200,70,-17.88,36.89,84.2,8.97
452,Wisconsin Rapids,90,US,1516618980,86,44.39,-89.82,35.6,12.75
453,Zemio,0,CF,1516619651,36,5.02,25.13,91.75,6.73
454,Kavali,0,IN,1516619651,48,14.91,79.99,79.15,10.09
455,Paris,92,FR,1516618800,93,48.86,2.35,55.4,6.93
456,Tacna,0,PE,1516615200,82,-18.01,-70.25,66.2,3.36
457,Gumdag,12,TM,1516619653,77,39.2,54.59,55.08,8.41
458,Cachoeira do Sul,92,BR,1516619424,100,-30.05,-52.89,71.59,5.39
459,Carpentras,0,FR,1516618800,48,44.06,5.05,64.4,9.17
460,Fonte Boa,64,BR,1516619655,91,-2.51,-66.09,76.05,4.16
461,Nevel,68,RU,1516619655,83,56.02,29.92,22.27,11.43
462,Tsimlyansk,92,RU,1516619656,99,47.65,42.1,32.58,11.99
